,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
0,-0.317080959,-0.46180457799999997,-0.36553764200000005,-0.17439423699999998,0.038195946,0.8379780440000001,-2.138662151,0.7364190909999999,-0.00220623,-0.15489867,0.94216186,-0.414296547,1.888314485,1.210124516,-1.2763534090000002,-0.26818204100000004,0.130503483,-0.588038988,0.212651912,1
1,-0.370052361,-0.472435604,-0.082908661,-0.277408797,0.14108800900000001,0.41092901299999995,-1.409360844,0.49250678,-0.143741216,-0.512082503,0.471697387,0.241027501,1.048881731,0.62798798,-0.71986735,-0.12662823199999998,0.353205934,-0.5545962560000001,1.111631094,1
2,-0.5084138539999999,-0.419490642,-0.09560477699999999,-0.119052117,-0.19926133399999998,0.020644826,-0.45550680000000004,0.243723782,-0.184513765,-0.766823189,0.157143716,0.823326738,0.107879704,0.19498834,0.552869105,0.520871357,0.14537945300000002,-1.205412458,-0.418281788,1
3,-0.560539704,-0.390520972,-0.12634691,-0.07738623,-0.50601812,-0.173830698,-0.173317917,0.133932327,-0.30807924,-0.70216888,0.332374995,0.556755633,0.060172305999999995,-0.021598751,-0.042300118,-0.073553498,0.253949364,-0.311202772,1.025137015,1
4,-0.500740932,-0.369079198,-0.20692722100000002,-0.085850532,-0.565332938,-0.22476068,-0.157209463,0.11400743599999999,-0.128605843,-0.517867021,0.30987658100000004,0.616912599,-0.08597133800000001,-0.46928192399999996,0.42357787799999996,0.126588464,0.48178795399999996,-0.631859552,0.401138987,1
5,-0.451346436,-0.36943334899999997,-0.159731412,-0.408149414,-0.148092883,0.060334708,-0.597489927,0.264051223,-0.11252417599999999,-0.332785971,0.505170675,0.295635754,0.7102675009999999,0.282446078,0.007693289,0.126160768,0.265481733,-0.342983414,-0.6651888770000001,1
8,-0.33113532100000004,-0.328609095,-0.226154976,0.041717345,-0.23493973,0.6118604639999999,-1.82976127,0.660264227,-0.085466477,-0.319231986,0.7124731609999999,-0.23631992,1.245195352,0.738675162,-1.215326187,-0.428140764,0.00041915199999999995,-1.148084057,0.724926521,1
9,-0.319506087,-0.424140877,-0.244340662,-0.405367506,0.183023988,0.40636381299999996,-1.4827117369999998,0.601001675,0.005684969000000001,-0.167524986,0.620388564,0.158344887,1.3411507790000001,0.196314712,-0.827356537,-0.26082063,0.214312862,-0.927778732,0.340896469,1
10,-0.371966426,-0.39406258899999996,-0.266161441,-0.380444505,0.15467602800000002,0.32283976,-1.452541081,0.8408589259999999,-0.37100371299999996,-0.38565237399999996,0.568088732,-0.143061871,1.9015701680000001,0.795610235,-1.455746495,-0.050244847,0.498393005,-0.516334131,-0.46403242200000006,1
11,-0.43668591700000003,-0.399912539,-0.239532539,-0.416109374,0.063376271,0.254191527,-1.0475306009999998,0.561352883,-0.27854390100000004,-0.434917668,0.46462772399999996,0.11767361,0.876925092,0.5046136410000001,-0.562509983,0.037649786,0.5126692310000001,-0.572341312,-0.12458374300000001,1
12,1.840531648,-0.934189417,-0.306403317,1.151968653,2.150774824,-0.86262571,-1.311450684,0.515831878,0.017323601,-0.086355557,-0.192699915,-0.511405725,-0.17095326800000002,-0.464693973,0.57973236,-0.835771998,-0.46878412,0.114429844,-1.066257763,2
14,1.9482924590000001,-1.401505535,-0.5772818279999999,1.018563187,1.796008614,-1.3825535569999998,-1.377830392,-0.087911139,0.43318264799999995,-0.147430029,-0.34891320600000003,-0.134435515,-0.062368411,-1.15292648,1.064253266,-0.41537367399999997,0.698777036,0.312808868,-0.701302949,2
17,1.786911841,-1.290569654,-0.449533055,1.212464563,1.937425664,-1.6509089780000001,-1.400809138,0.054875087999999995,0.186196738,-0.18673492100000003,-0.23223517800000001,-0.18659472,0.666262335,-0.33960007,0.137353702,-0.377830072,0.33602260100000003,0.21664662,-0.18341799,2
19,1.754270796,-1.152598245,0.035959881,1.4368675080000002,1.787995425,-1.219809942,-1.499689557,-0.00103247,0.575804664,-0.193755022,-0.193054912,0.200690473,-0.638410192,-0.88223889,0.45143417799999996,-1.016574436,-0.61732357,0.422812003,-0.573691611,2
20,1.816745315,-1.485309468,-0.45295863,0.839170275,2.027484798,-1.243699495,-1.5846941209999998,-0.13552834800000002,0.22715782699999998,-0.389863134,-0.519700401,-0.112426235,0.113605493,-0.53294039,0.848929888,-0.18979812,0.814986559,0.049016009000000006,-0.39229297799999996,2
21,1.6771689109999999,-1.43885463,-0.405164559,0.769259116,1.579626445,-1.408127951,-1.441120269,-0.414168718,0.144177144,-0.63971378,-0.6868496609999999,-0.006077656,0.192010688,-0.143430148,0.660266253,-0.147752564,0.761848854,0.093926439,-0.47990126899999996,2
24,1.042466334,-0.5345388879999999,-0.8577288820000001,2.628236488,2.555464578,0.82948259,0.547305299,0.12963540099999998,-0.49076293600000004,2.298650711,-0.913192186,0.668491388,0.939237268,0.41813796,-0.35045105200000004,0.765034359,0.591667139,-0.855713429,0.42561123100000003,3
25,0.9017221129999999,-0.610311584,-0.705563343,1.8536069519999998,2.40788142,0.43160200200000004,0.110454281,0.573779931,-0.860052376,0.633391235,-1.043282427,0.756226442,0.77928052,0.12705820199999998,0.657813855,0.9677517090000001,0.8134444940000001,-0.6974327459999999,-0.55898746,3
26,0.7935297590000001,-0.883896144,-0.679296595,1.627981905,2.1342035740000003,0.365887588,-0.303676276,0.28779160800000003,-0.23831102,1.136002415,-0.268091682,0.256732933,0.648203101,0.091188299,0.5969243089999999,0.8395478959999999,1.069424773,-0.832192706,-0.008849646999999999,3
27,0.704534036,-0.84492279,-0.538938874,1.158425703,2.101524789,0.403788236,-0.7091291409999999,0.42324294,-0.361700371,0.424891381,-0.596153956,0.53465973,0.39353953,-0.221479392,1.15293589,0.6927571370000001,0.705106848,-1.192402853,-0.500656109,3
28,0.5944308660000001,-0.769730803,-0.472004911,1.134690184,1.8981369319999999,0.150041118,-0.601768775,0.42154091299999996,-0.510245745,0.48292557799999997,-0.38000710600000004,0.320867395,1.175048777,-0.070010883,0.069122767,0.373596976,0.660215261,-0.5966781,0.024147817999999998,3
29,0.6431145189999999,-0.692841015,-0.649945856,1.808678518,2.129012313,0.6740929370000001,0.240126698,-0.37949047700000005,-0.49702450299999995,1.774961333,-1.110966912,0.9042193470000001,1.114284784,0.27059934,-0.12120664699999999,0.47046041899999996,0.44606244100000003,-0.599489006,0.6552047010000001,3
31,1.04742256,0.017733162,0.060886642000000005,3.349500702,2.8936468339999997,1.074701146,0.42232644,0.67994743,-0.461429882,2.53072295,-0.63382392,0.561144671,0.46489374899999997,-0.02955097,0.179997315,-0.111064626,-1.7469690409999998,-1.8756046309999999,0.951064735,3
32,1.049439194,-1.120751901,-0.152876424,1.8948613890000001,1.973554419,0.458578748,-0.33921367700000005,0.19310406800000002,-0.141229062,1.056245766,-0.7922503559999999,0.596852239,0.5411481429999999,-0.38475305200000004,0.461312335,0.542425313,0.20425017,-0.624947727,-0.036443895,3
33,0.9553346309999999,-1.188510494,-0.553289389,1.9449439609999999,2.11104821,0.088131335,-0.134882276,0.416579928,-0.23993676100000003,1.277590162,-0.23924045300000002,0.15658098,0.529203077,-0.008619079,-0.21748215,0.6709693379999999,0.888627927,-0.321940094,0.493858765,3
34,0.8044533359999999,-1.221207178,-0.152404474,1.36978263,1.724217967,0.078173362,-0.33467406,0.105138189,-0.54242246,0.344325318,-0.973475717,0.48106668700000005,0.774443388,0.23671044100000002,0.556878851,0.615644668,0.02689457,-0.669551386,0.461509546,3
35,0.7043095420000001,-1.201401479,-0.35104862200000003,1.16229727,1.687513056,0.039205563,-0.316970449,-0.023017818,-0.093424439,0.915553829,-0.444206864,0.42398990000000003,0.393734908,-0.042404963,0.283759759,0.56057905,0.676829963,-0.7221043090000001,0.85241942,3
36,-0.800947195,0.679514707,-1.651876898,2.060431732,-3.56782149,2.869433701,-2.6174968119999997,0.914146298,-0.733288693,-1.7210544209999998,-0.75100713,0.6905273740000001,-0.0678168,1.389853077,0.638979098,-0.435318608,-0.300172707,0.6899903909999999,-0.888999841,4
37,-0.8737395640000001,0.46642356100000004,-1.33384362,1.358453151,-2.904477012,2.7886180030000003,-2.677820315,0.898242152,-0.308656029,-1.285386695,-0.11228826800000001,0.5209382929999999,-0.272199426,1.602869857,0.497338954,-0.337081849,0.17638697,0.9390220770000001,0.14920367199999998,4
38,-0.9250538620000001,0.442754001,-1.128543818,0.9986507459999999,-2.443192154,2.1778873659999998,-1.919916805,0.947140933,-0.552884147,-1.2503109540000001,-0.17638637399999998,0.625206527,-0.46209787,0.557781929,0.013524501000000001,-0.566179625,-0.20074424600000002,-0.032182281,-0.7107583559999999,4
39,-0.9794134659999999,0.579673598,-1.225103998,0.918893015,-2.204878405,2.275434434,-1.845153196,1.168666153,-0.508716113,-1.4964146219999999,-0.24856038600000002,1.2108440440000001,0.8354192640000001,1.360977486,1.943799557,0.722083811,-0.019211318,-0.053907551,-0.235327697,4
40,-0.9684414809999999,0.53381516,-1.328871849,1.266505107,-2.7664576039999997,2.32404844,-1.873316463,0.8981035340000001,-0.76796992,-1.5093785130000001,-0.541386036,0.757088825,-0.6411588020000001,0.36444790000000005,0.687388578,-0.34598666299999997,0.171729424,0.171559982,-1.046743846,4
41,-0.959377881,0.45462625799999995,-0.752672566,0.660764075,-1.808176566,1.5409923909999999,-1.486398294,0.927013185,-0.505534645,-1.01822231,0.025160277,0.693259541,0.5281412839999999,0.841991466,0.175107469,0.24806782800000002,0.376452345,-0.469119533,-0.9498783690000001,4
42,-0.766748942,0.500839506,-1.4801635659999999,1.736320571,-2.924905895,2.671993094,-2.323316184,0.67857106,-0.463819196,-1.253740598,-0.664325597,0.9870984209999999,0.134302089,1.160643679,0.49467872799999996,-0.18990981699999998,-0.241871256,0.282163626,-1.410627749,4
43,-0.8475048040000001,0.584905907,-1.246758457,1.321475561,-2.614010791,2.440105958,-2.09044602,0.633933305,-0.489967714,-1.29983319,-0.716970688,1.185194579,0.531440939,1.4469494459999999,1.1160403490000002,0.22137189,0.001295494,0.605314586,-1.17133694,4
44,-0.9048477509999999,0.399604988,-1.255204327,1.272241509,-2.6820054669999998,1.998600565,-1.909810786,0.435115287,-0.068849471,-0.934196927,-0.15625234400000002,1.069169703,0.40909501,0.862633405,1.4109429619999998,0.337647885,0.235653995,-0.15548529,-0.025637926000000002,4
